Artist;Song name;Album name;Year;Genre;Length;;;;
;;;;;;;;;
;;;;;;;;;
Teoalida's Music Database;;;;;;;;;
6000+ songs that I downloaded, listened and rated according my preferrences;;;;;;;;;
Copyright 2005-2016 - www.teoalida.com/database/music;;;;;;;;;
You are not allowed to distribute or post this file on other websites!;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Ace of Base;;;;;#REF!;;;;
Alan Jackson;Wait a Minute;Like Red On a Rose;2006;Country;04:22;;;;
Alan Jackson;Had It Not Been You;Like Red On a Rose;2006;Country;04:01;;;;
Alan Jackson;A Woman's Love;Like Red On a Rose;2006;Country;04:13;;;;
Alan Jackson;Don't Ask Why;Like Red On a Rose;2006;Country;03:01;;;;
Alan Jackson;As Lovely As You;Like Red On a Rose;2006;Country;04:06;;;;
Alan Jackson;Where Do I Go from Here (A Trucker's Song);Like Red On a Rose;2006;Country;04:03;;;;
Alan Jackson;Bluebird;Like Red On a Rose;2006;Country;03:25;;;;
Alan Jackson;Good Time;Good Time;2008;Country;05:08;;;;
Alan Jackson;Small Town Southern Man;Good Time;2008;Country;04:40;;;;
Alan Jackson;I Wish I Could Back Up;Good Time;2008;Country;05:05;;;;
Alan Jackson;Country Boy;Good Time;2008;Country;04:06;;;;
Alan Jackson;Right Where I Want You;Good Time;2008;Country;03:51;;;;
Alan Jackson;1976;Good Time;2008;Country;04:09;;;;
Alan Jackson;When the Love Factor's High;Good Time;2008;Country;04:18;;;;
Alan Jackson;Long Long Way;Good Time;2008;Country;04:08;;;;
Alan Jackson;Sissy's Song;Good Time;2008;Country;03:02;;;;
Alan Jackson;I Still Like Bologna;Good Time;2008;Country;04:39;;;;
Alan Jackson;Never Loved Before (with Martina McBride);Good Time;2008;Country;03:32;;;;
Alan Jackson;Nothing Left to Do;Good Time;2008;Country;04:44;;;;
Alan Jackson;Listen to Your Senses;Good Time;2008;Country;03:09;;;;
Alan Jackson;This Time;Good Time;2008;Country;04:34;;;;
Alan Jackson;Laid Back 'n Low Key (Cay);Good Time;2008;Country;02:51;;;;
Alan Jackson;If You Want to Make Me Happy;Good Time;2008;Country;04:20;;;;
Alan Jackson;If Jesus Walked the World Today;Good Time;2008;Country;04:57;;;;
;;;;;;;;;
;;;;;;;;;
Alan Jackson;I'll Try;;;;;;;;
Alan Jackson;It's Five O'Clock Somewhere;;;;;;;;
Alan Jackson;Remember When;;;;;;;;
Alan Jackson;Tall, Tall Trees;;;;;;;;
;;;;;;;;;
Al Bano & Romina Power;;;;;#REF!;;;;
Al Bano & Romina Power;Che Angelo Sei;Che Angelo Sei;1982;Pop;03:29;;;;
Al Bano & Romina Power;Abbandonat;Che Angelo Sei;1982;Pop;03:00;;;;
